"Refencia";"Descripcion";"Marca";"Pvd";"Pvp";"Unidades caja";"Puntos";"Color"
308612;"Can’t Stop Won’t Stop™ Nutrilite™";"Nutrilite";13,48 €;0,00 €;"15 sobres con polvo de disolución rápida por paquete.";"5,77";
308613;"Beauty You Glow Nutrilite™";"Nutrilite";26,72 €;0,00 €;"60 gominolas por envase.";"11,44";
308614;"Sleep Easy Nutrilite™";"Nutrilite";17,00 €;0,00 €;"30 gominolas por envase";"7,28";
314051;"Conjunto Apoyo Inmunitario Estacional Nutrilite™";"Nutrilite";71,48 €;0,00 €;"Conjunto";"32,21";
316099;"Conjunto Empieza la Mañana a Tope Artistry Studio™";"Artistry Skin Nutrition";55,89 €;0,00 €;"Conjunto";"22,9";
316101;"Conjunto Lista para Irte a la Cama en 3 Minutos Artistry Studio™";"Artistry Skin Nutrition";49,94 €;0,00 €;"Conjunto";"20,46";
317514;"Conjunto Body Cleansing Program Refill - sin caja";"Nutrilite";136,10 €;0,00 €;;"58,27";
317878;"Conjunto Familiar Glister™";"Glister";40,12 €;0,00 €;"Conjunto";"16,43";
319385;"Conjunto Rutina de Belleza Saludable Regeneradora Artistry Skin Nutrition™";"Artistry Skin Nutrition";160,35 €;0,00 €;"Conjunto";"65,69";
319392;"Conjunto Rutina de Belleza Saludable Hidratante Artistry Skin Nutrition™";"Artistry Skin Nutrition";117,87 €;0,00 €;"Conjunto";"48,28";
319398;"Conjunto Rutina de Belleza Saludable Reafirmante Artistry Skin Nutrition™";"Artistry Skin Nutrition";166,44 €;0,00 €;"Conjunto";"68,18";
319400;"Conjunto Regenerador Moisturisation Power Artistry Skin Nutrition™";"Artistry Skin Nutrition";161,45 €;0,00 €;"Conjunto";"66,14";
319401;"Conjunto Hidratante Moisturisation Power Artistry Skin Nutrition™";"Artistry Skin Nutrition";92,76 €;0,00 €;"Conjunto";"38";
319402;"Conjunto Reafirmante Moisturisation Power Artistry Skin Nutrition™";"Artistry Skin Nutrition";167,54 €;0,00 €;"Conjunto";"68,63";
319906;;;0,00 €;0,00 €;;;
320868;"Solución de Belleza Holística Hidratante Artistry™";"Artistry Skin Nutrition";178,80 €;0,00 €;"Conjunto";"70,33";
320871;"Solución de Belleza Holística Regeneradora Artistry™";"Artistry Skin Nutrition";181,00 €;0,00 €;"Conjunto";"71,2";
320874;"Solución de Belleza Holística Reafirmante Artistry™";"Artistry Skin Nutrition";193,07 €;0,00 €;"Conjunto";"75,95";
321579;"Batidos XS™ High Protein Energy Shake - Sabor chocolate negro";"XS";52,37 €;0,00 €;"14 sobres x 67,1 g cada uno / 939 g";"22,42";
321906;"Solución Artistry™ Beauty Sleep";"Artistry Skin Nutrition";130,85 €;0,00 €;"Conjunto";"50,92";
321961;"Muestra de Mascarilla Nocturna Artistry Skin Nutrition";"Artistry Skin Nutrition";0,00 €;0,00 €;"muestra";;
322032;"Conjunto Tentempié y Complemento Nutrilite™ Energy Program";"XS";135,63 €;0,00 €;"1 x Barritas XS™ High Protein Energy Bar - Sabor chocolate negro, 1 x Batidos XS™ High Protein Energy Shake - Sabor chocolate negro, 1 x XS™ Amino Advantage+ - Sabor a sandía, 1 mezclador gratis";"58,06";
322033;"Conjunto Complementos Nutrilite™ Energy Program";"Nutrilite";144,72 €;0,00 €;"1 x Complejo Omega 3 Nutrilite™, 1 x Double X™ Nutrilite™, 1 x Nutrilite™ Balance Within™ Probiotics, 1 x organizador de vitaminas";"61,95";
322034;"Conjunto Nutrilite™ Energy Program";"Nutrilite";280,35 €;0,00 €;;"120,01";
323934;"Camiseta XS para hombre talla XL";"XS";0,00 €;0,00 €;;;
